化妆师,主播编号,化妆开始时间,化妆结束时间,直播开始时间,直播结束时间
化妆师1,主播1,07:00,07:40,08:00,14:30
化妆师1,主播2,07:40,08:20,08:20,14:50
化妆师1,主播3,08:20,09:00,09:00,15:30
化妆师1,主播4,09:00,09:40,09:40,16:10
化妆师1,主播5,09:40,10:20,10:20,16:50
化妆师1,主播6,10:20,11:00,11:00,17:30
化妆师1,主播7,11:00,11:40,11:40,18:10
化妆师1,主播8,11:40,12:20,12:20,18:50
化妆师1,主播9,12:20,13:00,13:00,19:30
化妆师1,主播10,13:00,13:40,13:40,20:10
化妆师1,主播11,13:40,14:20,14:20,20:50
化妆师1,主播12,14:20,15:00,15:00,21:30
化妆师1,主播13,15:00,15:40,15:40,22:10
化妆师2,主播14,07:00,07:40,08:00,14:30
化妆师2,主播15,07:40,08:20,08:20,14:50
化妆师2,主播16,08:20,09:00,09:00,15:30
化妆师2,主播17,09:00,09:40,09:40,16:10
化妆师2,主播18,09:40,10:20,10:20,16:50
化妆师2,主播19,10:20,11:00,11:00,17:30
化妆师2,主播20,11:00,11:40,11:40,18:10
化妆师2,主播21,11:40,12:20,12:20,18:50
化妆师2,主播22,12:20,13:00,13:00,19:30
化妆师2,主播23,13:00,13:40,13:40,20:10
化妆师2,主播24,13:40,14:20,14:20,20:50
化妆师2,主播25,14:20,15:00,15:00,21:30
化妆师2,主播26,15:00,15:40,15:40,22:10
化妆师3,主播27,07:00,07:40,08:00,14:30
化妆师3,主播28,07:40,08:20,08:20,14:50
化妆师3,主播29,08:20,09:00,09:00,15:30
化妆师3,主播30,09:00,09:40,09:40,16:10
化妆师3,主播31,09:40,10:20,10:20,16:50
化妆师3,主播32,10:20,11:00,11:00,17:30
化妆师3,主播33,11:00,11:40,11:40,18:10
化妆师3,主播34,11:40,12:20,12:20,18:50
化妆师3,主播35,12:20,13:00,13:00,19:30
化妆师3,主播36,13:00,13:40,13:40,20:10
化妆师3,主播37,13:40,14:20,14:20,20:50
化妆师3,主播38,14:20,15:00,15:00,21:30
化妆师3,主播39,15:00,15:40,15:40,22:10
化妆师4,主播40,07:00,07:40,08:00,14:30
化妆师4,主播41,07:40,08:20,08:20,14:50
化妆师4,主播42,08:20,09:00,09:00,15:30
化妆师4,主播43,09:00,09:40,09:40,16:10
化妆师4,主播44,09:40,10:20,10:20,16:50
化妆师4,主播45,10:20,11:00,11:00,17:30
化妆师4,主播46,11:00,11:40,11:40,18:10
化妆师4,主播47,11:40,12:20,12:20,18:50
化妆师4,主播48,12:20,13:00,13:00,19:30
化妆师4,主播49,13:00,13:40,13:40,20:10
化妆师4,主播50,13:40,14:20,14:20,20:50
化妆师4,主播51,14:20,15:00,15:00,21:30
化妆师4,主播52,15:00,15:40,15:40,22:10
化妆师5,主播53,07:00,07:40,08:00,14:30
化妆师5,主播54,07:40,08:20,08:20,14:50
化妆师5,主播55,08:20,09:00,09:00,15:30
化妆师5,主播56,09:00,09:40,09:40,16:10
化妆师5,主播57,09:40,10:20,10:20,16:50
化妆师5,主播58,10:20,11:00,11:00,17:30
化妆师5,主播59,11:00,11:40,11:40,18:10
化妆师5,主播60,11:40,12:20,12:20,18:50
化妆师5,主播61,12:20,13:00,13:00,19:30
化妆师5,主播62,13:00,13:40,13:40,20:10
化妆师5,主播63,13:40,14:20,14:20,20:50
化妆师5,主播64,14:20,15:00,15:00,21:30
化妆师5,主播65,15:00,15:40,15:40,22:10
化妆师6,主播66,07:00,07:40,08:00,14:30
化妆师6,主播67,07:40,08:20,08:20,14:50
化妆师6,主播68,08:20,09:00,09:00,15:30
化妆师6,主播69,09:00,09:40,09:40,16:10
化妆师6,主播70,09:40,10:20,10:20,16:50
化妆师6,主播71,10:20,11:00,11:00,17:30
化妆师6,主播72,11:00,11:40,11:40,18:10
化妆师6,主播73,11:40,12:20,12:20,18:50
化妆师6,主播74,12:20,13:00,13:00,19:30
化妆师6,主播75,13:00,13:40,13:40,20:10
化妆师6,主播76,13:40,14:20,14:30,21:00
化妆师6,主播77,14:20,15:00,15:00,21:30
化妆师6,主播78,15:00,15:40,15:40,22:10
化妆师7,主播79,07:00,07:40,14:30,21:00
化妆师7,主播80,07:40,08:20,14:30,21:00
化妆师7,主播81,08:20,09:00,14:30,21:00
化妆师7,主播82,09:00,09:40,14:50,21:20
化妆师7,主播83,09:40,10:20,14:50,21:20
化妆师7,主播84,10:20,11:00,14:50,21:20
化妆师7,主播85,11:00,11:40,14:50,21:20
化妆师7,主播86,11:40,12:20,14:50,21:20
化妆师7,主播87,12:20,13:00,14:50,21:20
化妆师7,主播88,13:00,13:40,15:30,22:00
化妆师7,主播89,13:40,14:20,15:30,22:00
化妆师7,主播90,14:20,15:00,15:30,22:00
化妆师7,主播91,15:00,15:40,15:40,22:10
N/A,主播92,N/A,N/A,15:30,22:00
N/A,主播93,N/A,N/A,15:30,22:00
N/A,主播94,N/A,N/A,16:10,22:40
N/A,主播95,N/A,N/A,16:10,22:40
N/A,主播96,N/A,N/A,16:10,22:40
N/A,主播97,N/A,N/A,16:10,22:40
N/A,主播98,N/A,N/A,16:10,22:40
N/A,主播99,N/A,N/A,16:10,22:40
N/A,主播100,N/A,N/A,16:50,23:20
N/A,主播101,N/A,N/A,16:50,23:20
N/A,主播102,N/A,N/A,16:50,23:20
N/A,主播103,N/A,N/A,16:50,23:20
N/A,主播104,N/A,N/A,16:50,23:20
N/A,主播105,N/A,N/A,16:50,23:20
N/A,主播106,N/A,N/A,17:30,00:00
N/A,主播107,N/A,N/A,17:30,00:00
N/A,主播108,N/A,N/A,17:30,00:00
N/A,主播109,N/A,N/A,17:30,00:00
N/A,主播110,N/A,N/A,17:30,00:00
N/A,主播111,N/A,N/A,17:30,00:00
N/A,主播112,N/A,N/A,18:10,00:40
N/A,主播113,N/A,N/A,18:10,00:40
N/A,主播114,N/A,N/A,18:10,00:40
N/A,主播115,N/A,N/A,18:10,00:40
N/A,主播116,N/A,N/A,18:10,00:40
N/A,主播117,N/A,N/A,18:10,00:40
N/A,主播118,N/A,N/A,18:50,01:20
